variant,model_family,target,v1_r2,v2_r2,r2_change,v2_minus_v1_rmse,ci_low,ci_high,probability_v2_better,blocks
raw,tessera,canopy_p95_height_m,0.2665460992823492,0.2756619538326408,0.009115854550291624,-0.023148059844970703,-0.12529960811138152,0.0764007550477981,0.6735,350
raw,tessera,canopy_surface_sd_m,0.6242943580833636,0.6506438355065777,0.02634947742321403,-0.03285408020019531,-0.058206641376018525,-0.008790511190891278,0.995,350
raw,tessera,canopy_surface_cv,0.7740631327378275,0.7983058268384298,0.024242694100602313,-0.005515421740710735,-0.008465040922164917,-0.0023653541132807737,1.0,350
raw,tessera,canopy_surface_rcv,0.6479515586090889,0.6758063722346361,0.027854813625547203,-0.013692760840058327,-0.023304023295640946,-0.003821752443909669,0.997,350
raw,tessera,canopy_rumple,0.5635552504896836,0.5859231327257877,0.022367882236104086,-0.016884583979845047,-0.03345244184136391,0.002744390368461603,0.9545,350
raw,tessera,canopy_open_fraction,0.7538827831494641,0.7863581384837052,0.03247535533424106,-0.003842343343421817,-0.005551250614225864,-0.002169668432325125,1.0,350
raw,tessera,canopy_height_kurtosis,0.6043229379450722,0.6097984139960243,0.0054754760509521105,-0.01468801498413086,-0.057288062572479245,0.025742809772491437,0.741,350
raw,fused,canopy_p95_height_m,0.28646256859074404,0.3384773435862499,0.052014774995505886,-0.08514916896820068,-0.16153246521949768,-0.013029793500900295,0.9885,350
raw,fused,canopy_surface_sd_m,0.6428143866986048,0.6625892653675801,0.019774878668975315,-0.026527773588895798,-0.04780200511217117,-0.002748290598392492,0.9875,350
raw,fused,canopy_surface_cv,0.7982488918284723,0.8137047951017081,0.015455903273235871,-0.004021093249320984,-0.0074865808710455894,-0.0007564876601099978,0.9925,350
raw,fused,canopy_surface_rcv,0.6803082544014951,0.6981194285775639,0.01781117417606881,-0.010302233509719372,-0.020830815285444258,-0.0015188337862491758,0.9865,350
raw,fused,canopy_rumple,0.5844162337785727,0.5708914626811435,-0.013524771097429111,0.0016101717483252287,-0.01610842511057854,0.02289812490344047,0.4775,350
raw,fused,canopy_open_fraction,0.7855899127477007,0.8049427749492392,0.019352862201538423,-0.002628936665132642,-0.004471470937132836,-0.0008809297718107712,0.999,350
raw,fused,canopy_height_kurtosis,0.6163261784890505,0.6291607907390357,0.012834612249985278,-0.027581285685300827,-0.058256751298904424,0.0011636251211166162,0.971,350
height_adjusted,tessera,canopy_surface_sd_m,0.2902350587769331,0.34228862426673673,0.05205356548980361,-0.02080758847296238,-0.03706796914339066,-0.00574595734477044,0.998,350
height_adjusted,tessera,canopy_surface_cv,0.25891965028157254,0.32365442659004234,0.0647347763084698,-0.0020569704938679934,-0.0032543760724365713,-0.0009619875624775905,0.9995,350
height_adjusted,tessera,canopy_surface_rcv,0.16225001916706078,0.14045657128342748,-0.0217934478836333,0.0030513405799865723,-0.0038177190721035,0.00885872796177864,0.211,350
height_adjusted,tessera,canopy_rumple,0.6400542702353449,0.6478884217480723,0.007834151512727372,-0.0036006271839141846,-0.013283972293138503,0.00545435860753059,0.7855,350
height_adjusted,tessera,canopy_open_fraction,0.2795039255472197,0.3437964814032566,0.06429255585603688,-0.0016121078515425324,-0.0024039708077907562,-0.0008196306321769957,1.0,350
height_adjusted,tessera,canopy_height_kurtosis,0.14077678279974212,0.18519655967409804,0.044419776874355915,-0.0410492904484272,-0.08219914138317108,0.00018991500139236363,0.9745,350
height_adjusted,fused,canopy_surface_sd_m,0.28792059249473756,0.35823519025107153,0.07031459775633397,-0.028332609683275223,-0.04851027995347977,-0.008630158156156554,0.9985,350
height_adjusted,fused,canopy_surface_cv,0.2736301185898271,0.32819627979780297,0.05456616120797586,-0.0017482467228546739,-0.003025340847671032,-0.0005178506858646872,0.9995,350
height_adjusted,fused,canopy_surface_rcv,0.16693287594758355,0.13118873056364205,-0.035744145383941495,0.004905340261757374,-0.000509427934885025,0.009494993314146993,0.04,350
height_adjusted,fused,canopy_rumple,0.6522157991623061,0.6618468285572626,0.009631029394956525,-0.004479748196899891,-0.013406164795160293,0.005803880691528319,0.808,350
height_adjusted,fused,canopy_open_fraction,0.2905637925466613,0.3562063994555203,0.06564260690885898,-0.0016373868566006422,-0.002459081392735243,-0.0008700586389750245,1.0,350
height_adjusted,fused,canopy_height_kurtosis,0.1119732068176907,0.17866274308185365,0.06668953626416295,-0.0563494935631752,-0.09393499433994293,-0.01679013669490815,0.9995,350
