target,folds,rows,blocks,raw_target_sd,adjusted_target_sd,residual_sd_fraction,variance_fraction_removed_by_observed_height,height_only_r2,raw_tessera_r2,adjusted_tessera_r2,oracle_height_plus_tessera_residual_r2,adjusted_residual_vs_mean_height_block_spearman,adjusted_residual_vs_p95_height_block_spearman
canopy_height_kurtosis,5,17316,350,2.465530336992326,1.5009024480630022,0.6120171776126212,0.6238032811743957,0.6190646007302588,0.6097984139960243,0.18519655967409804,0.6896442184368445,0.17697373295396285,0.10185707290001969
canopy_open_fraction,5,17316,350,0.11379557146938016,0.04131419757689137,0.36343258429532105,0.8675953434036241,0.8642407890411665,0.7863581384837052,0.3437964814032566,0.9128488350403406,0.008195540911590016,0.12519254070638963
canopy_rumple,5,17316,350,0.7389474296596746,0.7273421009553994,0.9973630830553659,-0.0028495510358485633,-0.3990925520879549,0.5859231327257877,0.6478884217480723,0.6408880616411297,0.039419194538771886,-0.039842056548969856
canopy_surface_cv,5,17316,350,0.20649843800155118,0.053776603966653416,0.2613226668730193,0.931463608192067,0.930501706598475,0.7983058268384298,0.32365442659004234,0.9534547013331689,-0.07733205918425476,0.1447678698922711
canopy_surface_rcv,5,17316,350,0.5686450520150976,0.2239293033549279,0.38921215662529896,0.847168474272171,0.8438767856747728,0.6758063722346361,0.14045657128342748,0.8691562969280116,0.015540319761165133,0.10708976925111487
canopy_surface_sd_m,5,17316,350,1.5483631658620407,0.6756830087105163,0.4364349282241511,0.8086762838922044,0.8067812322770795,0.6506438355065777,0.34228862426673673,0.8736951516680014,-0.0395050985161262,0.12352977262164186
