target,sites,site_folds,r2_median,unit_spearman_median,block_spearman_median,positive_r2_fraction,positive_unit_rank_fraction,positive_block_rank_fraction,rmse_median,centred_rmse_median
ahn4_entropy,20,100,0.21846065892892136,0.6012233790702971,0.6650605171465249,0.71,0.99,0.96,0.21826516907497256,0.19787003795368516
ahn4_height_cv,20,100,0.00920290861668075,0.47708726045668426,0.45105297235238373,0.52,1.0,0.95,0.08784117265589195,0.0828103356041307
ahn4_height_sd_m,20,100,0.00882948449223855,0.4600568276028661,0.5485699841109346,0.52,0.98,0.95,1.1533835050183212,1.0296764526212856
ahn4_p95_height_m,20,100,0.03649742623206545,0.4678328771374005,0.5345238095238096,0.55,1.0,0.96,3.0405597391294146,2.539379817410965
ahn4_pulse_penetration,20,100,0.15560461340277645,0.6627541741777297,0.7101600985221673,0.6,0.98,0.92,0.052540658436954255,0.0406474172414277
ahn4_sigma_z,20,100,-0.04898720228410175,0.419380676274527,0.49931581828133553,0.43,0.99,0.96,1.0963463021181263,0.9539312133929694
