scope,fold,target,target_variant,model,rows,rmse,mae,r2,bias,block_spearman
fold,0,ahn4_p95_height_m,raw,tessera_v1,139,4.277333212696473,3.178742244241526,0.1537130510503153,-1.2731881916620513,0.26514188887940277
fold,0,ahn4_p95_height_m,raw,tessera_v2,139,4.413306968978378,3.4535188980120153,0.09905195449376025,-0.9094154490217261,0.26513661221624596
fold,0,ahn4_p95_height_m,raw,conventional,139,4.20908220345151,3.3728499432711208,0.18050503289606223,-0.4101793578976495,0.33979030896344997
fold,0,ahn4_p95_height_m,raw,fused_v1,139,4.057093855665692,3.099473107237698,0.23861978912321613,-0.6188378192848192,0.36780808598233683
fold,0,ahn4_p95_height_m,raw,fused_v2,139,4.123515168248862,3.278502680409217,0.21348561808986433,-0.46203917060908123,0.33926809717597733
fold,0,ahn4_height_sd_m,raw,tessera_v1,139,1.3220470575874785,1.0159313284059532,0.21794325196406583,-0.48373380946908334,0.523906841401292
fold,0,ahn4_height_sd_m,raw,tessera_v2,139,1.3255018409873454,1.0489532086614153,0.2138505581595842,-0.41786195512083646,0.5104719826972879
fold,0,ahn4_height_sd_m,raw,conventional,139,1.3136178536543093,1.022118377590501,0.22788404874990364,-0.23570641232256412,0.4117489351812327
fold,0,ahn4_height_sd_m,raw,fused_v1,139,1.2167569621874994,0.9428550521187626,0.337551502000193,-0.2807482461765461,0.540111058937363
fold,0,ahn4_height_sd_m,raw,fused_v2,139,1.2393897464039234,0.9857453680104618,0.31267801191530953,-0.2923592511083852,0.5238093120654164
fold,0,ahn4_height_sd_m,height_adjusted,tessera_v1,139,0.7926859565933296,0.5536279912276989,0.16004312367259088,-0.27475254892394474,0.4795823965774021
fold,0,ahn4_height_sd_m,height_adjusted,tessera_v2,139,0.7693706808635397,0.5592908316675831,0.20872776713583696,-0.30158615023868185,0.4738752999990514
fold,0,ahn4_height_sd_m,height_adjusted,conventional,139,0.8290134541000631,0.6252067501163707,0.08129132134128281,-0.1989557327783471,0.2787353439198611
fold,0,ahn4_height_sd_m,height_adjusted,fused_v1,139,0.7398472833885722,0.5355111273583913,0.26829027301858965,-0.18808017641297067,0.44407401083316733
fold,0,ahn4_height_sd_m,height_adjusted,fused_v2,139,0.733346715165558,0.5525032639386235,0.2810919222405871,-0.24602039685818014,0.4647020878985363
fold,0,ahn4_height_cv,raw,tessera_v1,139,0.06266675722330796,0.04837966768643303,0.3423348029169565,-0.026743570291979185,0.6004238524146959
fold,0,ahn4_height_cv,raw,tessera_v2,139,0.06155898291938782,0.04815094036962493,0.36538068289592907,-0.02511212467709812,0.5641714571653529
fold,0,ahn4_height_cv,raw,conventional,139,0.07389198932396142,0.05886591609368079,0.08562333671547384,-0.023583040209527596,0.33575982763690865
fold,0,ahn4_height_cv,raw,fused_v1,139,0.0617508632888025,0.04769853275365793,0.3614182792201506,-0.02654511514310053,0.6307777682916418
fold,0,ahn4_height_cv,raw,fused_v2,139,0.06282092318700014,0.04993902368793044,0.33909498942630845,-0.03011871829697796,0.6127742679074533
fold,0,ahn4_height_cv,height_adjusted,tessera_v1,139,0.05435557395345576,0.0418672720114804,0.33166826961103,-0.021806721048381515,0.560769373061271
fold,0,ahn4_height_cv,height_adjusted,tessera_v2,139,0.053486705490882504,0.04085327120998552,0.35286393240097824,-0.02154458095257242,0.5516470303651214
fold,0,ahn4_height_cv,height_adjusted,conventional,139,0.06136063954876773,0.04740017041055406,0.14830585081879966,-0.013485337872201226,0.35815695049185614
fold,0,ahn4_height_cv,height_adjusted,fused_v1,139,0.0530235072511311,0.04108046271565389,0.36402387758003885,-0.018955838706240017,0.5542650853277935
fold,0,ahn4_height_cv,height_adjusted,fused_v2,139,0.05374420723418582,0.042739452833649244,0.34661790212568566,-0.02246117609980566,0.5573419728317065
fold,0,ahn4_entropy,raw,tessera_v1,139,0.17746393445713102,0.13887072250471688,0.2745588449572879,-0.051169764222438345,0.5357668829505677
fold,0,ahn4_entropy,raw,tessera_v2,139,0.20168605890656818,0.15834639531071396,0.06301262855473078,-0.07204379394191524,0.5111817828244021
fold,0,ahn4_entropy,raw,conventional,139,0.1929692766842589,0.15294982158535816,0.14225476076864685,-0.04116722399718192,0.37820204521092426
fold,0,ahn4_entropy,raw,fused_v1,139,0.1673584906518178,0.1324006249418279,0.35482507613699943,-0.032348467839772056,0.5441922910915697
fold,0,ahn4_entropy,raw,fused_v2,139,0.18801294653572787,0.14663598497132116,0.18575052018167282,-0.0649209965222063,0.5018888082567328
fold,0,ahn4_entropy,height_adjusted,tessera_v1,139,0.12003434593640688,0.08824707489666993,0.35226181169182025,-0.024583295472138444,0.5475012924860316
fold,0,ahn4_entropy,height_adjusted,tessera_v2,139,0.132096504417649,0.09822332457454452,0.21553947873723067,-0.060303972406772065,0.49349903241412674
fold,0,ahn4_entropy,height_adjusted,conventional,139,0.14651289950533047,0.12050308515819777,0.03497143685837545,-0.040331572593753355,0.30042148088069287
fold,0,ahn4_entropy,height_adjusted,fused_v1,139,0.11838105555632604,0.09257149232542448,0.3699821450406502,-0.023858760152888545,0.54774058026694
fold,0,ahn4_entropy,height_adjusted,fused_v2,139,0.12895192906658423,0.1004864003067784,0.25244331704903766,-0.06106050146009479,0.5010759649771859
fold,0,ahn4_pulse_penetration,raw,tessera_v1,139,0.043330369402895696,0.035816972497081136,-0.5790140425410313,0.02862197419248171,0.17864641139474657
fold,0,ahn4_pulse_penetration,raw,tessera_v2,139,0.03945319664835086,0.0332106914815544,-0.3090782390207987,0.02207222257841805,0.19561189134579812
fold,0,ahn4_pulse_penetration,raw,conventional,139,0.04545310702659004,0.03831370894950078,-0.7375141909140859,0.03260463472175295,0.26455036901069084
fold,0,ahn4_pulse_penetration,raw,fused_v1,139,0.042856072401248405,0.035263262064689625,-0.5446352562933061,0.030357642952180765,0.32105874764032366
fold,0,ahn4_pulse_penetration,raw,fused_v2,139,0.042073036762779396,0.0346319934895003,-0.4887059662349613,0.028426275663793757,0.34877640703112406
fold,0,ahn4_pulse_penetration,height_adjusted,tessera_v1,139,0.040845725314636885,0.03367469463779349,-0.5844320515767023,0.02680378174977325,0.16415355208362978
fold,0,ahn4_pulse_penetration,height_adjusted,tessera_v2,139,0.03741530427003451,0.0312646049128059,-0.3294712714015742,0.02114555129425595,0.16567074096208392
fold,0,ahn4_pulse_penetration,height_adjusted,conventional,139,0.04351366717071604,0.036819754903393315,-0.7981742137926329,0.03131994324698622,0.24692542474173995
fold,0,ahn4_pulse_penetration,height_adjusted,fused_v1,139,0.041227129400843956,0.034112097894632785,-0.6141600230504065,0.029253086880222014,0.3048754588918296
fold,0,ahn4_pulse_penetration,height_adjusted,fused_v2,139,0.040553185668774805,0.033474529958548264,-0.5618177218392588,0.02766495885448791,0.344126540311335
fold,0,ahn4_sigma_z,raw,tessera_v1,139,1.2631334989563543,0.9672075879049353,0.20126684302775222,-0.43760625352458304,0.5192361644706261
fold,0,ahn4_sigma_z,raw,tessera_v2,139,1.2649775947133552,1.0019511910053507,0.19893293987764504,-0.39270295531910815,0.48564451179601015
fold,0,ahn4_sigma_z,raw,conventional,139,1.2661343187031202,0.9891129272134518,0.19746724254380443,-0.18149421556630638,0.41071269339859795
fold,0,ahn4_sigma_z,raw,fused_v1,139,1.167785353961327,0.9127882630781404,0.31730101761560126,-0.2237906248494252,0.5309406926776516
fold,0,ahn4_sigma_z,raw,fused_v2,139,1.1798416576600292,0.9473363658420765,0.3031317799682465,-0.24087177212534544,0.5079269709819101
fold,0,ahn4_sigma_z,height_adjusted,tessera_v1,139,0.7800498250782294,0.5437818068978193,0.15048045431897605,-0.24193441661200998,0.4643997766014969
fold,0,ahn4_sigma_z,height_adjusted,tessera_v2,139,0.7547166475528735,0.5428686605226787,0.20476305640573444,-0.2871410254703759,0.43692371723725776
fold,0,ahn4_sigma_z,height_adjusted,conventional,139,0.8262996428165206,0.6097779262529134,0.04675657593235816,-0.15928459602579972,0.17796951630192476
fold,0,ahn4_sigma_z,height_adjusted,fused_v1,139,0.739477201753032,0.5360766553038294,0.23655410156339374,-0.14305621985038647,0.3579375243082235
fold,0,ahn4_sigma_z,height_adjusted,fused_v2,139,0.7233684590284677,0.5313597809797663,0.2694535669769197,-0.20595057555262855,0.38632454917138603
fold,1,ahn4_p95_height_m,raw,tessera_v1,113,6.11560216624059,4.962916568734214,-1.5207314870620028,-4.597335872576756,0.10746681064223655
fold,1,ahn4_p95_height_m,raw,tessera_v2,113,5.729672791741699,4.709185099674721,-1.2126248055176538,-4.177409172441873,0.18219882717995262
fold,1,ahn4_p95_height_m,raw,conventional,113,5.938773447977563,4.865400263305685,-1.3770682481069696,-4.355676227188926,0.13252722593775268
fold,1,ahn4_p95_height_m,raw,fused_v1,113,5.762817952919141,4.671410577326479,-1.238298149077396,-4.112436131322524,0.13690868854970017
fold,1,ahn4_p95_height_m,raw,fused_v2,113,5.780179437088571,4.654224634090682,-1.251804983649519,-4.196758407992097,0.13923531987275214
fold,1,ahn4_height_sd_m,raw,tessera_v1,113,1.8607567746972231,1.5477708533060783,-0.40672837930208816,-1.325271928764822,0.48062606511566947
fold,1,ahn4_height_sd_m,raw,tessera_v2,113,1.7500575344273546,1.524827820057358,-0.24433032320647197,-1.1718221492492007,0.5288849843996831
fold,1,ahn4_height_sd_m,raw,conventional,113,1.7984682681431574,1.514810143738945,-0.3141247369510922,-1.2331240317026368,0.4342797457854082
fold,1,ahn4_height_sd_m,raw,fused_v1,113,1.7414487085737993,1.447571300974835,-0.23211829561571173,-1.2167329648879266,0.516927848883567
fold,1,ahn4_height_sd_m,raw,fused_v2,113,1.7588580132886558,1.493259717536379,-0.25687646672265796,-1.2171802343286022,0.5109969935658906
fold,1,ahn4_height_sd_m,height_adjusted,tessera_v1,113,1.117730497645957,0.8113298840335536,0.09593655196580753,-0.5785030474194144,0.5692903555588634
fold,1,ahn4_height_sd_m,height_adjusted,tessera_v2,113,1.0684765298581644,0.8240073743666215,0.17385803629480434,-0.5083292172395717,0.6308222957566749
fold,1,ahn4_height_sd_m,height_adjusted,conventional,113,1.034351935372096,0.781678579309811,0.22578537379156616,-0.4802835439550155,0.596395251041524
fold,1,ahn4_height_sd_m,height_adjusted,fused_v1,113,1.0547467001274546,0.7799699317079215,0.19495332713421587,-0.5483915734613506,0.6053898038641912
fold,1,ahn4_height_sd_m,height_adjusted,fused_v2,113,1.051578857913886,0.80139632132554,0.19978184394850407,-0.5173353080994975,0.5840384783262323
fold,1,ahn4_height_cv,raw,tessera_v1,113,0.05887333731666024,0.045277228318192954,0.5704706710595631,-0.015451351766825801,0.79719916967653
fold,1,ahn4_height_cv,raw,tessera_v2,113,0.05627791158008607,0.04519271926224747,0.6075074127579055,-0.007775027967180424,0.8143014886027383
fold,1,ahn4_height_cv,raw,conventional,113,0.06313662336927217,0.0504737769028439,0.5060099329865391,0.012626149344671378,0.7092973172569081
fold,1,ahn4_height_cv,raw,fused_v1,113,0.055431196391752084,0.0446385219330611,0.6192288656736313,-0.009338899307698835,0.7700583607394099
fold,1,ahn4_height_cv,raw,fused_v2,113,0.054987758418840973,0.04632702794122511,0.6252966764026305,-0.002827800923786978,0.7749244496579565
fold,1,ahn4_height_cv,height_adjusted,tessera_v1,113,0.056982548894514665,0.043632632205440725,0.521728773145312,-0.013091844935031767,0.7510318122167048
fold,1,ahn4_height_cv,height_adjusted,tessera_v2,113,0.05554118935078136,0.04414272321182762,0.5456182693054441,-0.008657583755152234,0.7760460052918049
fold,1,ahn4_height_cv,height_adjusted,conventional,113,0.058695380611942904,0.046003082075249675,0.4925440408731726,0.0070707188313460624,0.7063409198230329
fold,1,ahn4_height_cv,height_adjusted,fused_v1,113,0.053072945875135724,0.04216507046113245,0.5851062437528178,-0.009550373058349099,0.7418305760453746
fold,1,ahn4_height_cv,height_adjusted,fused_v2,113,0.053540887089027996,0.0442693728554863,0.5777578001542701,-0.006092352266004476,0.7249971021148677
fold,1,ahn4_entropy,raw,tessera_v1,113,0.2861427578232334,0.23675048378009114,-0.493395125415218,-0.18568639202087117,0.6133013435603066
fold,1,ahn4_entropy,raw,tessera_v2,113,0.2770953011354565,0.22573523210190835,-0.400449764490048,-0.1640238231580097,0.6120193987690614
fold,1,ahn4_entropy,raw,conventional,113,0.25673182758018176,0.205760907535016,-0.2021776154578716,-0.12776315019577184,0.4504723108239841
fold,1,ahn4_entropy,raw,fused_v1,113,0.2664356187752953,0.2151992683759169,-0.2947734324195137,-0.16097598732053167,0.6259669728306653
fold,1,ahn4_entropy,raw,fused_v2,113,0.2681239286254051,0.2134527279950971,-0.31123447950616057,-0.15834442306015617,0.6030263658014162
fold,1,ahn4_entropy,height_adjusted,tessera_v1,113,0.16476620152224702,0.12907175242008348,0.1904668905312623,-0.055899120610897836,0.6080957935408616
fold,1,ahn4_entropy,height_adjusted,tessera_v2,113,0.16603660114708405,0.12358361194767048,0.17793525101087715,-0.04957395453049957,0.6292533650817923
fold,1,ahn4_entropy,height_adjusted,conventional,113,0.16652535964836113,0.12582102709990525,0.1730883376916904,-0.02044285214140171,0.49528052840490494
fold,1,ahn4_entropy,height_adjusted,fused_v1,113,0.1670334685418351,0.12890625267310124,0.16803442666002466,-0.056320173106437325,0.6002056588224366
fold,1,ahn4_entropy,height_adjusted,fused_v2,113,0.16756357823699075,0.12123885415586864,0.162745272723138,-0.04949750470758145,0.6127238155862953
fold,1,ahn4_pulse_penetration,raw,tessera_v1,113,0.035929956217052215,0.029315389447287055,0.009365545747314408,0.015109382299964967,0.3939033365432332
fold,1,ahn4_pulse_penetration,raw,tessera_v2,113,0.031941400202712,0.025818505948814695,0.21709700741948357,0.007210526623935884,0.4344129807642237
fold,1,ahn4_pulse_penetration,raw,conventional,113,0.03171714922067481,0.02589638345742562,0.22805147172223628,-0.00731637518602199,0.5017650470092428
fold,1,ahn4_pulse_penetration,raw,fused_v1,113,0.030138162862796095,0.023344996701272203,0.30299867526191293,0.0012674385908156172,0.5113991455112584
fold,1,ahn4_pulse_penetration,raw,fused_v2,113,0.02885743164012158,0.02253412605702645,0.3609785979362202,-0.004693192795455042,0.5599868022394281
fold,1,ahn4_pulse_penetration,height_adjusted,tessera_v1,113,0.03002490995791352,0.024446973553805585,0.21927595864274863,0.005501772542021468,0.4155162591888783
fold,1,ahn4_pulse_penetration,height_adjusted,tessera_v2,113,0.028828162075977062,0.023607052450698926,0.28027260116412955,-0.000407572579904258,0.46467776067693917
fold,1,ahn4_pulse_penetration,height_adjusted,conventional,113,0.03200452416423515,0.02572228577637046,0.11293207739564493,-0.013283857852683916,0.5181577841512905
fold,1,ahn4_pulse_penetration,height_adjusted,fused_v1,113,0.028420860127986825,0.022262587968360746,0.3004664307235544,-0.00576095600088005,0.5258638640032033
fold,1,ahn4_pulse_penetration,height_adjusted,fused_v2,113,0.028837297168259713,0.022447664806899793,0.27981639324496366,-0.011019259668789536,0.5724890238102435
fold,1,ahn4_sigma_z,raw,tessera_v1,113,1.800464381504329,1.5045444593936976,-0.4125359836415141,-1.265328649596966,0.47022526537557735
fold,1,ahn4_sigma_z,raw,tessera_v2,113,1.7228316641714818,1.502466341198085,-0.2933502220577371,-1.1438750734807566,0.5146261406427267
fold,1,ahn4_sigma_z,raw,conventional,113,1.779313996023157,1.499245460926733,-0.3795442695990374,-1.2215584492381242,0.40840845185027314
fold,1,ahn4_sigma_z,raw,fused_v1,113,1.6941785946835897,1.4140248435613858,-0.250687566244745,-1.1743690892836425,0.5095866781786159
fold,1,ahn4_sigma_z,raw,fused_v2,113,1.737599744128656,1.4844078693922294,-0.31561840250880757,-1.20043722183783,0.4949215589699092
fold,1,ahn4_sigma_z,height_adjusted,tessera_v1,113,1.0972050459959635,0.8065797706052678,0.055657220572392974,-0.5441370327218432,0.5211126193943493
fold,1,ahn4_sigma_z,height_adjusted,tessera_v2,113,1.0711237503914075,0.8363901500211152,0.10001893996920164,-0.4991541954931817,0.5907886963767418
fold,1,ahn4_sigma_z,height_adjusted,conventional,113,1.0393397720850293,0.7925372076416407,0.15263764761626653,-0.48617259460761536,0.5656786465957745
fold,1,ahn4_sigma_z,height_adjusted,fused_v1,113,1.0471417012033584,0.7854827312332532,0.13986824428592737,-0.528357790794775,0.5955150771734964
fold,1,ahn4_sigma_z,height_adjusted,fused_v2,113,1.0607750518376993,0.8177419406929388,0.1173253262786399,-0.5189404243388805,0.558889005453443
fold,2,ahn4_p95_height_m,raw,tessera_v1,112,3.4418448906442163,2.7153556212408025,0.3487212240376034,-1.0982873830525561,0.34677322413330025
