target_site,forest_group,fold,target,reference_pool_rows,eligible_200,budget,replicate,method,reference_rows,reference_blocks,rmse,mae,r2,bias,unit_spearman,block_spearman,centred_rmse,test_rows,test_blocks
veluwe,conifer,0,ahn4_p95_height_m,2705,True,0,0,source_ridge,0,0,3.337536531596345,2.4855803223520803,0.4388509498103582,0.4719268480910387,0.6729989468426342,0.7013239027327931,3.304002897969524,999,514
veluwe,conifer,0,ahn4_height_sd_m,2705,True,0,0,source_ridge,0,0,1.080833504802475,0.8395586584493167,0.5047862752110229,0.2432633707131506,0.7265829557011921,0.758929213277865,1.0531020831680462,999,514
veluwe,conifer,0,ahn4_height_cv,2705,True,0,0,source_ridge,0,0,0.0917170665225402,0.0702381477041419,0.2320340970779594,0.0218227968627131,0.5627285923197746,0.5687981617751834,0.0890830277246391,999,514
veluwe,conifer,0,ahn4_entropy,2705,True,0,0,source_ridge,0,0,0.2068315707351544,0.1614884215975946,0.6820768692137573,0.011979739539726,0.8498777640863643,0.8482639171941667,0.206484344426718,999,514
veluwe,conifer,0,ahn4_pulse_penetration,2705,True,0,0,source_ridge,0,0,0.0418776885024055,0.032978589271502,0.6975995328395423,-0.0090149365780917,0.7919061305794771,0.8119622908529937,0.0408958642505265,999,514
veluwe,conifer,0,ahn4_sigma_z,2705,True,0,0,source_ridge,0,0,0.9985181868483706,0.8033269124545914,0.3390550654220186,0.3667331641468475,0.6823492751268302,0.7132464723063374,0.9287331994613948,999,514
veluwe,conifer,1,ahn4_p95_height_m,2692,True,0,0,source_ridge,0,0,2.902005463687042,2.306581456869697,0.4810295750882383,0.6552127555676417,0.6572435321092635,0.7056237484925024,2.8270712683289223,999,513
veluwe,conifer,1,ahn4_height_sd_m,2692,True,0,0,source_ridge,0,0,1.156675895046971,0.91217890969253,0.4479574978206592,0.2959297952731564,0.6866239265317421,0.7406823133547228,1.1181791817290732,999,513
veluwe,conifer,1,ahn4_height_cv,2692,True,0,0,source_ridge,0,0,0.0888348393606384,0.0703017723876751,0.2271617091806613,0.025700413734058,0.5499679358717434,0.5870259026497828,0.0850359771986462,999,513
veluwe,conifer,1,ahn4_entropy,2692,True,0,0,source_ridge,0,0,0.207909575044261,0.1668890355411449,0.6782765938506137,0.0343002672477036,0.8225986507549632,0.8542802623045943,0.2050606814136277,999,513
veluwe,conifer,1,ahn4_pulse_penetration,2692,True,0,0,source_ridge,0,0,0.0428603853954035,0.0340244641056136,0.6305960033263409,-0.0133481756278961,0.7761402685250379,0.7672838696327396,0.0407288453512907,999,513
veluwe,conifer,1,ahn4_sigma_z,2692,True,0,0,source_ridge,0,0,1.0425561261765948,0.8453641686015635,0.3239038370974977,0.4089379786280759,0.676778662429965,0.7368510826962024,0.9590062595540924,999,513
veluwe,conifer,2,ahn4_p95_height_m,2707,True,0,0,source_ridge,0,0,3.2717981702482017,2.32043280475289,0.3995127457260673,0.7521207123357994,0.6516156876156876,0.6989046603134712,3.184176141628313,1000,514
veluwe,conifer,2,ahn4_height_sd_m,2707,True,0,0,source_ridge,0,0,1.0709008269229654,0.839490209463057,0.4515546733932014,0.2980057878077935,0.7075822555822556,0.753139715292538,1.0286015416755645,1000,514
veluwe,conifer,2,ahn4_height_cv,2707,True,0,0,source_ridge,0,0,0.0883088119261818,0.0699048731510399,0.2061313737846349,0.0202354369895276,0.550909714909715,0.5799110181482947,0.0859591376972606,1000,514
veluwe,conifer,2,ahn4_entropy,2707,True,0,0,source_ridge,0,0,0.1973111888204692,0.154560420720671,0.7028901947245694,0.0274069270777216,0.8521465801465802,0.8734970477457291,0.1953984789651734,1000,514
veluwe,conifer,2,ahn4_pulse_penetration,2707,True,0,0,source_ridge,0,0,0.042098504065593,0.0336774362684836,0.6478313544269441,-0.0108835933977665,0.7761635481635483,0.7809040501345288,0.0406673264342868,1000,514
veluwe,conifer,2,ahn4_sigma_z,2707,True,0,0,source_ridge,0,0,0.988722680140818,0.7865332963607731,0.3057098570625189,0.4121627081214073,0.6845404205404205,0.7345011124388358,0.8987182207226412,1000,514
veluwe,conifer,3,ahn4_p95_height_m,2651,True,0,0,source_ridge,0,0,3.2513905781226646,2.35586305183971,0.4556929562536985,0.5239838893391439,0.7229606961671088,0.7313868580887704,3.2088910195296223,999,514
veluwe,conifer,3,ahn4_height_sd_m,2651,True,0,0,source_ridge,0,0,1.1792715349690324,0.9009596063583684,0.4559574397199556,0.2336511625634033,0.7359511094260592,0.750364704528248,1.1558929394286428,999,514
veluwe,conifer,3,ahn4_height_cv,2651,True,0,0,source_ridge,0,0,0.0990964674032919,0.0765999308196095,0.2016635027923398,0.0195411487544654,0.5251058152340716,0.5539237576772198,0.0971506734776839,999,514
veluwe,conifer,3,ahn4_entropy,2651,True,0,0,source_ridge,0,0,0.2238408516208117,0.1723594509081594,0.64522714107409,0.0217470193489179,0.8419801043528496,0.8474945880309049,0.2227819427237496,999,514
veluwe,conifer,3,ahn4_pulse_penetration,2651,True,0,0,source_ridge,0,0,0.0437062127410163,0.0340995841796149,0.639576864024737,-0.0086733034737442,0.7685581372956122,0.751407089872819,0.04283697980735,999,514
veluwe,conifer,3,ahn4_sigma_z,2651,True,0,0,source_ridge,0,0,1.0559907678381486,0.8303741060643965,0.3604499328247154,0.3404816610985977,0.7292672152992687,0.7361900842166237,0.999594287806279,999,514
veluwe,conifer,4,ahn4_p95_height_m,2731,True,0,0,source_ridge,0,0,3.0085758700639977,2.3775170716357983,0.4712772642396713,0.7722868903805471,0.6664542184542185,0.7118511463830771,2.907765761693621,1000,514
veluwe,conifer,4,ahn4_height_sd_m,2731,True,0,0,source_ridge,0,0,1.102494818612003,0.8787609052548297,0.460392453734417,0.3157447797012094,0.7405022965022966,0.7748037629616081,1.056314375154361,1000,514
