metric,units,valid_pixels_median,jackknife_se_median,jackknife_se_p95,mean_reference_variance,maximum_recalculation_difference,between_unit_sd,model_rmse,rms_jackknife_se,rms_jackknife_se_to_model_rmse,approximate_reliability,observed_r2,optimistic_error_adjusted_r2,diagnostic_reduced_chi2,median_se_to_between_sd
canopy_height_kurtosis,17316,2500.0,0.47898281715141966,1.7873910780574858,1.022334603569798,9.077641713872708e-07,2.7339755977583455,1.5302312010591645,1.00437307625188,0.6541385230834488,0.8336751083459667,0.6097984139960244,0.7303420499616974,9.661979743990134,0.1751964492821917
canopy_mean_height_m,17316,2500.0,0.5695529215194473,1.2042788934867719,0.48387712430693297,1.470994952512683e-06,3.0263841203609037,1.964356537801314,0.7609055775630889,0.39397185401925156,0.9320639454562262,0.5542773921056565,0.5949833856722863,17.38605219083363,0.1881958465508756
canopy_open_fraction,17316,2500.0,0.02535468397688883,0.06712036449478859,0.0012129313449714416,1.4877319320927285e-08,0.10558500474824804,0.05244731850343315,0.03980360803319831,0.7594244851019069,0.8770110398289963,0.7863581384837052,0.8965314548469371,10.85558674558356,0.24013527335006854
canopy_p95_height_m,17316,2500.0,0.25122822884675106,0.7255386988805066,0.16447144260222776,1.9073486328125e-06,2.872159121049492,2.3967767558371493,0.4493209750711157,0.1910206229864268,0.973201887066357,0.2756619538326409,0.2828762471457981,88.4906891792725,0.08747016382398473
canopy_rumple,17316,2500.0,0.15817852645016173,0.2632798204350867,0.030104561527479964,7.266336226052772e-07,0.8152471461136634,0.45439031966316074,0.16921763948917465,0.37827174879253134,0.9440669562611548,0.5859231327257877,0.6183033295429188,9.596501915714352,0.19402524400632265
canopy_surface_cv,17316,2500.0,0.047013392485813925,0.10768889596528909,0.0035508802827318017,5.9178229427914175e-08,0.19580228310701223,0.09235662862378273,0.06727671924408588,0.7314557115000566,0.8927326394247675,0.7983058268384298,0.8942591863480877,4.312496035910309,0.24010645708415768
canopy_surface_rcv,17316,2500.0,0.08209514106043075,0.39658536753538337,0.08458803300408083,2.2472870142564716e-07,0.4853863568758718,0.32433650178254303,0.37642484950858884,1.1633405088952116,0.5480064245587531,0.6758063722346361,0.9689550182325544,10.730112530211565,0.16913359820994106
canopy_surface_sd_m,17316,2500.0,0.3073204880829349,0.6732535976665255,0.14855211775841445,4.7648759959884046e-07,1.5436021362181105,0.9112155527280947,0.39315409549624686,0.4364137594980919,0.9352646610429293,0.6506438355065777,0.6957155694810946,10.48051733765379,0.19909306995122647
