evaluation_site,target,local_rmse,pooled_rmse,pooled_over_local_rmse,local_r2,pooled_r2,delta_r2_pooled_minus_local
cairngorms,mean_height_m,1.926390282165053,1.9594954804390734,1.0171850941008764,0.30080589718457296,0.2765679730633397,-0.024237924121233267
cairngorms,p95_height_m,2.2163306934569404,2.283618647509725,1.0303600695741986,0.3180620391849379,0.27602610602894484,-0.04203593315599308
cairngorms,within_cell_height_sd_m,0.5699593803507685,0.6053125351595379,1.0620274988491496,0.2874148748766703,0.1962735212462452,-0.09114135363042508
cairngorms,height_cv,0.047806784209556356,0.050359390872781934,1.0533942348440857,0.3506762603017931,0.27948478598320337,-0.07119147431858974
savelsbos,mean_height_m,2.7577950868186942,2.8304401905062764,1.026341733667886,0.2769040104380235,0.2383070596331136,-0.03859695080490988
savelsbos,p95_height_m,3.806931932634074,3.896050120996637,1.0234094514794492,0.22848436419244078,0.19194005607390796,-0.03654430811853282
savelsbos,within_cell_height_sd_m,1.4060059616731326,1.4010956297668602,0.9965076023572267,0.11691811264784158,0.12307548804173973,0.006157375393898157
savelsbos,height_cv,0.06559520504747202,0.06694034697094776,1.020506711161315,0.36099933294814823,0.33452301284090047,-0.026476320107247764
